System, Mutation Operator, Human-Fail, Branch-Fail, Multi-Fail
commonsCompress,AODS,1.0000,0.3750,0.7500
commonsCompress,AODU,0.4444,0.5555,0.5555
commonsCompress,AOIS,0.5936,0.2854,0.3583
commonsCompress,AOIU,0.4282,0.2727,0.3660
commonsCompress,AORB,0.5878,0.3769,0.4057
commonsCompress,AORS,0.3000,0.0500,0.1000
commonsCompress,ASRS,0.7572,0.2485,0.3294
commonsCompress,CDL,0.6363,0.2424,0.2727
commonsCompress,COD,0.4117,0.5882,0.6470
commonsCompress,COI,0.6895,0.5357,0.6291
commonsCompress,COR,0.7977,0.5168,0.5617
commonsCompress,EAM,0.7771,0.2168,0.2108
commonsCompress,EMM,0.4836,0.1793,0.1793
commonsCompress,IHI,0.0000,0.0000,0.0000
commonsCompress,IOD,0.8214,0.5000,0.7142
commonsCompress,IPC,0.5714,0.1428,0.1428
commonsCompress,ISI,1.0000,1.0000,1.0000
commonsCompress,JDC,1.0000,1.0000,1.0000
commonsCompress,JID,0.5000,0.1428,0.1428
commonsCompress,JSD,0.7777,0.0000,0.0000
commonsCompress,JSI,0.7460,0.2063,0.2380
commonsCompress,JTD,0.8750,0.8125,0.8750
commonsCompress,JTI,0.7317,0.6341,0.7560
commonsCompress,LOD,1.0000,0.0000,0.0000
commonsCompress,LOI,0.4512,0.3230,0.3914
commonsCompress,LOR,0.8028,0.4788,0.5633
commonsCompress,OAN,0.9802,0.0129,0.0176
commonsCompress,ODL,0.6862,0.3238,0.3724
commonsCompress,OMR,0.4117,0.1764,0.2941
commonsCompress,PRV,0.8214,0.7142,0.7857
commonsCompress,ROR,0.5649,0.3928,0.4967
commonsCompress,SDL,0.6451,0.4101,0.5000
commonsCompress,SOR,0.7500,0.0000,0.0000
commonsCompress,VDL,0.7046,0.3355,0.4093
commonsLang,AODS,0.5000,0.1250,0.1250
commonsLang,AODU,0.7222,0.7222,0.7222
commonsLang,AOIS,0.7069,0.4221,0.5379
commonsLang,AOIU,0.6591,0.3856,0.4828
commonsLang,AORB,0.7063,0.3761,0.4587
commonsLang,AORS,0.4464,0.0892,0.1964
commonsLang,ASRS,0.6019,0.1990,0.3398
commonsLang,CDL,0.5862,0.2873,0.2988
commonsLang,COD,0.7500,0.5833,0.5277
commonsLang,COI,0.7248,0.5838,0.6369
commonsLang,COR,0.6496,0.4842,0.5039
commonsLang,EAM,0.8444,0.5500,0.5722
commonsLang,EMM,1.0000,0.6931,0.9318
commonsLang,EOC,0.0000,0.0000,0.0000
commonsLang,IOD,0.8965,0.7241,0.7241
commonsLang,IOR,1.0000,0.0000,0.0000
commonsLang,IPC,1.0000,0.2173,0.4782
commonsLang,ISD,0.1666,0.1666,0.2500
commonsLang,JDC,1.0000,1.0000,1.0000
commonsLang,JID,0.5000,0.3750,0.8750
commonsLang,JSD,0.0000,0.0000,0.0000
commonsLang,JSI,0.8750,0.1875,0.3125
commonsLang,JTI,1.0000,0.4210,0.6315
commonsLang,LOI,0.6765,0.4225,0.5079
commonsLang,LOR,0.8000,0.5000,0.6000
commonsLang,OAN,0.5238,0.2063,0.4444
commonsLang,ODL,0.7283,0.4112,0.4476
commonsLang,OMD,1.0000,0.0000,0.0000
commonsLang,OMR,0.7771,0.2571,0.5257
commonsLang,PCI,0.3636,0.0000,0.0000
commonsLang,PNC,1.0000,1.0000,0.0000
commonsLang,PRV,0.9855,0.1159,0.2318
commonsLang,ROR,0.7122,0.5004,0.5645
commonsLang,SDL,0.7325,0.4828,0.5771
commonsLang,SOR,0.0000,0.0000,0.0000
commonsLang,VDL,0.7440,0.4345,0.5238
jodaTime,AODS,1.0000,0.0000,1.0000
jodaTime,AODU,0.8181,0.6363,0.8181
jodaTime,AOIS,0.3680,0.2629,0.3285
jodaTime,AOIU,0.4902,0.4776,0.6187
jodaTime,AORB,0.4711,0.5990,0.6942
jodaTime,AORS,0.2045,0.0681,0.0909
jodaTime,ASRS,0.7500,0.7916,0.7916
jodaTime,CDL,0.3272,0.4272,0.5272
jodaTime,COD,0.6470,0.5294,0.7647
jodaTime,COI,0.5914,0.4198,0.5146
jodaTime,COR,0.5600,0.3440,0.4480
jodaTime,EAM,0.6167,0.3788,0.5022
jodaTime,EMM,0.9166,0.0000,0.2500
jodaTime,EOC,0.0000,0.0000,0.0000
jodaTime,IOD,0.8659,0.6494,0.8144
jodaTime,IOR,1.0000,0.0000,1.0000
jodaTime,IPC,0.0000,0.3333,0.3333
jodaTime,ISD,0.0000,0.3333,0.3333
jodaTime,ISI,1.0000,1.0000,1.0000
jodaTime,JDC,1.0000,0.0000,1.0000
jodaTime,JID,1.0000,1.0000,1.0000
jodaTime,JSD,0.2500,0.0000,0.0833
jodaTime,JSI,0.8000,0.2000,0.6000
jodaTime,LOD,0.0000,0.0000,0.0000
jodaTime,LOI,0.5101,0.4839,0.6246
jodaTime,LOR,0.0000,0.0000,0.0000
jodaTime,OAN,0.1445,0.0008,0.0020
jodaTime,ODL,0.4550,0.4838,0.5806
jodaTime,OMD,0.0000,0.0000,0.0000
jodaTime,OMR,0.5995,0.3007,0.6730
jodaTime,PCD,0.0000,0.0000,0.0000
jodaTime,PCI,0.1365,0.0011,0.0000
jodaTime,PMD,1.0000,0.0000,0.0000
jodaTime,PRV,0.9862,0.1237,0.5154
jodaTime,ROR,0.5011,0.3876,0.4590
jodaTime,SDL,0.5142,0.4247,0.5352
jodaTime,SOR,0.7500,0.0000,0.1250
jodaTime,VDL,0.4719,0.4766,0.5560
jsoup,AODS,0.5000,0.0000,0.0000
jsoup,AODU,1.0000,0.7500,0.7500
jsoup,AOIS,0.9687,0.4854,0.3833
jsoup,AOIU,0.9107,0.3303,0.3392
jsoup,AORB,0.8490,0.3301,0.3018
jsoup,AORS,0.6315,0.2631,0.2631
jsoup,ASRS,0.8750,0.4166,0.5416
jsoup,CDL,1.0000,0.5384,0.6153
jsoup,COD,0.9411,0.7058,0.5882
jsoup,COI,0.9670,0.6703,0.6813
jsoup,COR,0.9761,0.5476,0.6190
jsoup,EAM,1.0000,0.0000,0.0000
jsoup,EOC,1.0000,0.0000,0.0000
jsoup,IHI,1.0000,0.4285,0.4285
jsoup,IOD,1.0000,0.3809,0.4761
jsoup,IOP,1.0000,0.0000,0.6666
jsoup,IPC,1.0000,0.2857,0.4285
jsoup,ISD,1.0000,0.0000,0.0000
jsoup,ISI,1.0000,0.0000,0.0714
jsoup,JID,0.7142,0.4285,0.4285
jsoup,JSD,1.0000,0.0000,0.0000
jsoup,JSI,1.0000,0.1500,0.1500
jsoup,JTD,1.0000,0.7142,0.7857
jsoup,JTI,1.0000,0.3913,0.4782
jsoup,LOI,0.8558,0.3441,0.2883
jsoup,LOR,0.0000,0.0000,0.0000
jsoup,OAN,1.0000,0.2727,0.3636
jsoup,ODL,0.9914,0.4188,0.4957
jsoup,OMR,1.0000,0.5925,0.8148
jsoup,PCI,1.0000,0.0000,0.2222
jsoup,PNC,1.0000,1.0000,1.0000
jsoup,PRV,1.0000,0.4285,0.7142
jsoup,ROR,0.9878,0.5060,0.5181
jsoup,SDL,0.9651,0.4986,0.5656
jsoup,VDL,1.0000,0.4500,0.5000
JSQLParser,AOIS,0.4715,0.3212,0.4248
JSQLParser,AOIU,0.5483,0.6451,0.6774
JSQLParser,AORB,0.6500,0.4000,0.4000
JSQLParser,AORS,0.0000,0.0000,0.0000
JSQLParser,ASRS,0.0000,0.0000,0.0000
JSQLParser,CDL,0.8659,0.8041,0.8453
JSQLParser,COD,0.8461,0.8461,0.8461
JSQLParser,COI,0.8949,0.8655,0.8991
JSQLParser,COR,0.6176,0.8529,0.8529
JSQLParser,EAM,0.6896,0.5344,0.5689
JSQLParser,EMM,0.6666,0.7777,0.4444
JSQLParser,IOD,0.9333,0.8666,0.9466
JSQLParser,IOP,0.0000,0.0000,0.0000
JSQLParser,IPC,0.0000,0.0000,0.0000
JSQLParser,JID,0.1016,0.1525,0.1525
JSQLParser,JSD,0.0000,0.0000,0.0000
JSQLParser,JSI,0.5454,0.0259,0.0346
JSQLParser,JTD,0.6521,0.6397,0.7950
JSQLParser,JTI,0.6153,0.6098,0.7527
JSQLParser,LOI,0.4761,0.4603,0.5079
JSQLParser,OAN,0.0000,0.5000,0.5000
JSQLParser,ODL,0.8403,0.7565,0.7879
JSQLParser,OMD,0.0000,0.0000,0.0000
JSQLParser,OMR,0.0000,0.0000,0.5000
JSQLParser,PCI,0.6666,0.0000,0.0000
JSQLParser,PRV,0.8000,0.4363,0.7090
JSQLParser,ROR,0.6480,0.5640,0.6400
JSQLParser,SDL,0.7883,0.6418,0.7430
JSQLParser,VDL,0.8648,0.7432,0.7567
Overall,AODS,0.7142,0.1904,0.3809
Overall,AODU,0.7142,0.6666,0.7142
Overall,AOIS,0.5375,0.3218,0.3839
Overall,AOIU,0.5601,0.3961,0.5025
Overall,AORB,0.5977,0.4628,0.5315
Overall,AORS,0.3561,0.0958,0.1506
Overall,ASRS,0.6821,0.2621,0.3689
Overall,CDL,0.6058,0.4638,0.5147
Overall,COD,0.7200,0.6300,0.6400
Overall,COI,0.7201,0.5762,0.6416
Overall,COR,0.6764,0.4852,0.5312
Overall,EAM,0.7372,0.3894,0.4404
Overall,EMM,0.6721,0.3311,0.4098
Overall,EOC,0.2000,0.0000,0.0000
Overall,IHI,0.7000,0.3000,0.3000
Overall,IOD,0.8960,0.6840,0.8040
Overall,IOP,0.6000,0.0000,0.4000
Overall,IOR,1.0000,0.0000,0.7142
Overall,IPC,0.8095,0.2142,0.3809
Overall,ISD,0.1875,0.1875,0.2500
Overall,ISI,1.0000,0.3000,0.3500
Overall,JDC,1.0000,0.6666,1.0000
Overall,JID,0.3052,0.2526,0.2947
Overall,JSD,0.5000,0.0000,0.0384
Overall,JSI,0.6298,0.0776,0.1014
Overall,JTD,0.6963,0.6596,0.8010
Overall,JTI,0.6943,0.5811,0.7207
Overall,LOD,0.7500,0.0000,0.0000
Overall,LOI,0.5789,0.4192,0.5096
Overall,LOR,0.7303,0.4382,0.5168
Overall,OAN,0.4011,0.0079,0.0134
Overall,ODL,0.6800,0.4703,0.5265
Overall,OMD,0.8461,0.0000,0.0000
Overall,OMR,0.6112,0.2989,0.6605
Overall,PCD,0.0000,0.0000,0.0000
Overall,PCI,0.1433,0.0011,0.0011
Overall,PMD,1.0000,0.0000,0.0000
Overall,PNC,1.0000,1.0000,0.6666
Overall,PRV,0.9533,0.2022,0.5155
Overall,ROR,0.6465,0.4554,0.5260
Overall,SDL,0.6824,0.4807,0.5781
Overall,SOR,0.6666,0.0000,0.0555
Overall,VDL,0.6640,0.4624,0.5344
